score,signals,permit_number,address,zip,description,valuation,sqft,floors,work_class,permit_class,issue_date,contractor_company,contractor_name,contractor_phone,contractor_city,equipment,permit_link
95,"$20M+ value, 50K+ sqft, 4 floors, New",2026-094822 BP,3935 BRIGHT LIGHT BLVD,78610,ePlan: Commercial Expedited Review - [APPROVED] Phase 1a- Main Building for Educational Site (215685 SF).,380000000.0,215685.0,4,New,C- 326 Schools & Other Educational Bldgs,2026-07-23,Bartlett Cocke General Contractors (MAIN),Donna Kirkpatrick,(512) 326-4223,Austin,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13742458
95,"$20M+ value, 50K+ sqft, 4 floors, New",2026-094821 BP,3935 BRIGHT LIGHT BLVD,78610,ePlan: Commercial Expedited Review - [APPROVED] Phase 1- Main Building to Include Riser Room (137 678 SF).,380000000.0,137678.0,4,New,C- 326 Schools & Other Educational Bldgs,2026-07-23,Bartlett Cocke General Contractors (MAIN),Donna Kirkpatrick,(512) 326-4223,Austin,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13742457
95,"$20M+ value, 50K+ sqft, 7 floors, New",2026-112064 BP,2631 KRAMER LN UNIT FW2,78758,Expedited Review:  New Construction of a Multi-Family Bldg - Above the Podium Fire Area B.,48000000.0,80155.0,7,New,C- 105 Five or More Family Bldgs,2026-08-27,OHT Construction LLC ***MAIN***,Eric Taylor,(512) 813-7120,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13762350
95,"$20M+ value, 50K+ sqft, 7 floors, New",2026-112066 BP,2631 KRAMER LN UNIT FW3,78758,Expedited Review:  New Construction of a Multi-Family Bldg - Above the Podium Fire Area C.,48000000.0,144885.0,7,New,C- 105 Five or More Family Bldgs,2026-08-27,OHT Construction LLC ***MAIN***,Eric Taylor,(512) 813-7120,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13762352
95,"$20M+ value, 50K+ sqft, 7 floors, New",2026-112062 BP,2631 KRAMER LN UNIT FW1,78758,Expedited Review:  New Construction of a Multi-Family Bldg - Above the podium Fire Area A - also contains 3rd Floor 9with mezzanine) Business Center and 7th Floor Club Lounge/Terrace.,48000000.0,107120.0,7,New,C- 105 Five or More Family Bldgs,2026-08-27,OHT Construction LLC ***MAIN***,Eric Taylor,(512) 813-7120,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13762348
90,"$20M+ value, 50K+ sqft, 3 floors, New",2026-016600 BP,1412 NORSEMAN TER,78758,ePlan: Commercial Expedited Review - New Construction of an Elementary School on Existing Site. Building to include 1 story and 3 story Portions. (94951 SF),51150000.0,94951.0,3,New,C- 326 Schools & Other Educational Bldgs,2026-08-19,Joeris General Contractors***MAIN***,Burton Hackney,(512) 920-0338,Austin,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13653673
90,"$20M+ value, 10K+ sqft, 7 floors, New",2026-112061 BP,2631 KRAMER LN,78758,Expedited Review:  New Construction of a Multi-Family Bldg below the Podium - also contains Leasing Mail and 7 Live Work Units.,48000000.0,10513.0,7,New,C- 105 Five or More Family Bldgs,2026-08-27,OHT Construction LLC ***MAIN***,Eric Taylor,(512) 813-7120,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13762347
90,"$20M+ value, 10K+ sqft, 7 floors, New",2026-112067 BP,2631 KRAMER LN UNIT GAR,78758,Expedited Review:  New Construction of a Multi-Family Bldg Parking Garage (522 491 SF).,48000000.0,10513.0,7,New,C- 321 Pkg Garage Bldg & Open Deck,2026-08-27,OHT Construction LLC ***MAIN***,Eric Taylor,(512) 813-7120,AUSTIN,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13762353
90,"$20M+ value, 10K+ sqft, 4 floors, New",2026-099071 BP,6420 HELEN MILLER VW,78724,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of Medical Office Building with New Parking Garage (75766 SF).,28000000.0,32130.0,4,New,"C- 324 Office, Bank & Professional Bldgs",2026-08-04,HOAR Construction LLC,Stephen Phelps,(512) 202-2634,AUSTIN,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13747472
85,"$20M+ value, 50K+ sqft, New",2026-094823 BP,3935 BRIGHT LIGHT BLVD,78610,ePlan: Commercial Expedited Review - [APPROVED] Phase 1B- Scope of Work to Include all academic structures for the Hays CISD New High School #4 development apart from the main building and some of the stadium seating. This Phase Included the Middle 3 Sections of the Home Side Bottom Row of the Proposed Stadium Seating. (273698 SF).,380000000.0,273698.0,1,New,C- 326 Schools & Other Educational Bldgs,2026-07-23,Bartlett Cocke General Contractors (MAIN),Donna Kirkpatrick,(512) 326-4223,Austin,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13742459
85,"$20M+ value, 7 floors, New",2026-112069 BP,2631 KRAMER LN UNIT REC,78758,Expedited Review:  New Construction of Glass Box Structure - Courtyard B.,48000000.0,400.0,7,New,C- 329 Com Structures Other Than Bldg,2026-08-27,OHT Construction LLC ***MAIN***,Eric Taylor,(512) 813-7120,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13762355
85,"$20M+ value, 10K+ sqft, 2 floors, New",2026-099072 BP,6420 HELEN MILLER VW,78724,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of Parking Garage (75766 SF).,28000000.0,43636.0,2,New,C- 321 Pkg Garage Bldg & Open Deck,2026-08-04,HOAR Construction LLC,Stephen Phelps,(512) 202-2634,AUSTIN,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13747473
85,"$10M+ value, 50K+ sqft, 2 floors, New",2026-104278 BP,12520 HARRIS BRANCH PKWY,78754,62435 SF ground up new light manufacturer. Project will be structural steel tilt wall construction with associated site work and interior finish out.,12300000.0,62435.0,2,New,C- 320 Industrial Bldgs,2026-08-13,Kingham Dalton Wilson,Luke Kingham,(713) 541-5070,Houston,"Excavators, Loaders, Boom Lifts, Cranes, Scissor Lifts, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13753478
80,"$20M+ value, 10K+ sqft, New",2026-095413 BP,1106 W DITTMAR RD BLDG 30,78745,ePlan: Commercial Expedited Review - [APPROVED New Construction of Behavior Health Hospital located at the Texas Neuro Rehab Center Campus (46219 SF).,30400000.0,46219.0,1,New,C- 323 Hospital & Institutional Bldgs,2026-07-27,The Christman Company,Josh Grizzle,(469) 501-5534,Irving,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13743166
80,"$10M+ value, 50K+ sqft, New",2021-050295 BP,4401 TILLEY ST,78723,Construction of a new 51250 sq. ft single story middle school.                   210-850-8661,13855000.0,51250.0,1,New,C- 326 Schools & Other Educational Bldgs,2026-08-19,Joeris General Contractors***MAIN***,Burton Hackney,(512) 920-0338,Austin,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12671912
